"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialNGlobal","id","choiceCondition","phase","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","isBestFirst","conflict","confrt","participant"
"1877",-1,-1,-1,3.02870000004759,-1,-1,-1,1,5.15545654296875,6.03726438492064,7.09727647569444,8.02327667720734,76,19726,0,"OR1",3.02870000004759,8.02327667720734,6.57831852019779,1.92661087601273,8.02327667720734,5.15545654296875,7.09727647569444,6.03726438492064,TRUE,1,3.7895,19726
"1878",-1,-1,-1,8.96169999992844,-1,-1,-1,1,4.96854654947917,5.02747163318452,4.06197587270585,10,77,19726,0,"OR1",8.96169999992844,10,6.01449851384239,5.31400198154349,10,4.06197587270585,5.02747163318452,4.96854654947917,TRUE,1,5.0169,19726
"1879",1.60019999992846,-1,-1,-1,1,-1,-1,-1,1.97836352151538,8.94029889787946,1.97987971230159,8.94363257998512,78,19726,0,"OR1",1.60019999992846,1.97836352151538,5.46054367792039,4.64411853608631,8.94363257998512,1.97836352151538,8.94029889787946,1.97987971230159,FALSE,1,2.9078,19726
"1880",-1,2.36660000002394,-1,-1,-1,1,-1,-1,1.2141602531312,9.1188732328869,0.97132558671255,1.92036849733383,79,19726,0,"OR1",2.36660000002394,9.1188732328869,3.30618189251612,7.75025512049438,9.1188732328869,0.97132558671255,1.92036849733383,1.2141602531312,TRUE,1,3.4213,19726
"1881",-1,-1,3.03169999992861,-1,-1,-1,1,-1,4.98241509331597,1.04967196025546,3.92160082620288,1.93118722098214,80,19726,0,"OR1",3.03169999992861,3.92160082620288,2.97121877518911,2.68159509083581,4.98241509331597,1.04967196025546,3.92160082620288,1.93118722098214,FALSE,1,3.7284,19726
"1882",-1,11.3444999999997,-1,-1,-1,1,-1,-1,4.9143298921131,4.92935810391865,4.01033625527034,4.87496415395585,81,19726,0,"OR1",11.3444999999997,4.92935810391865,4.68224710131448,0.329481336805554,4.92935810391865,4.01033625527034,4.9143298921131,4.87496415395585,TRUE,4,4.606,19726
"1883",-1,1.43039999997609,-1,-1,-1,1,-1,-1,3.02537512400794,1.97836352151538,1.91914391896081,1.92036849733383,82,19726,0,"OR1",1.43039999997609,1.97836352151538,2.21081276545449,1.08608314473793,3.02537512400794,1.91914391896081,1.97836352151538,1.92036849733383,FALSE,1,3.1612,19726
"1884",-1,-1,-1,2.80259999990449,-1,-1,-1,1,8.02327667720734,7.89143880208333,7.99866497705853,10,83,19726,0,"OR1",2.80259999990449,10,8.4783451140873,2.02887318121693,10,7.89143880208333,8.02327667720734,7.99866497705853,TRUE,2,4.553,19726
"1885",1.5319999999997,-1,-1,-1,1,-1,-1,-1,10,1.97987971230159,0,4.98123798673115,84,19726,0,"OR1",1.5319999999997,10,4.24027942475818,7.67962743365575,10,0,4.98123798673115,1.97987971230159,TRUE,1,3.488,19726
"1886",-1,-1,-1,1.5324999999998,-1,-1,-1,1,1.04967196025546,1.91126747736855,1.89676436166915,1.98448350694444,85,19726,0,"OR1",1.5324999999998,1.98448350694444,1.7105468265594,0.365248907180059,1.98448350694444,1.04967196025546,1.91126747736855,1.89676436166915,TRUE,1,3.4876,19726
