"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","endTime","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","NChosen","minValue","maxValue","isWorstFirst","isSecondFirst","isThirdFirst","isBestFirst","catChoiceCondition","conflict"
"61",-1,-1,2.04499999999985,-1,-1,-1,1,-1,9.958203125,9.868310546875,8.919775390625,8.88583984375,0,60,"5589be79fdf99b18be320155",0.5843,2.04499999999985,8.919775390625,9.4080322265625,0.696256510416665,9.958203125,8.88583984375,9.868310546875,8.919775390625,1,0,10,FALSE,FALSE,TRUE,FALSE,"OR",4
"62",-1,-1,1.29700000000003,-1,-1,-1,1,-1,7.070654296875,3.940380859375,1.047314453125,0.0675292968750002,1,61,"5589be79fdf99b18be320155",0.3136,1.29700000000003,1.047314453125,3.0314697265625,3.95192057291667,7.070654296875,0.0675292968750002,3.940380859375,1.047314453125,1,0,10,FALSE,FALSE,TRUE,FALSE,"XOR",2
"63",1.27940000000604,-1,-1,-1,1,-1,-1,-1,9.973095703125,8.9498046875,9.868310546875,8.923779296875,1,62,"5589be79fdf99b18be320155",0.3675,1.27940000000604,9.973095703125,9.42874755859375,0.673291015625002,9.973095703125,8.923779296875,9.868310546875,8.9498046875,1,0,10,FALSE,FALSE,FALSE,TRUE,"XOR",2
"64",-1,-1,-1,2.74369999998817,-1,-1,-1,1,3.01787109375,4.02587890625,6.93583984375,3.91953125,1,63,"5589be79fdf99b18be320155",0.4348,2.74369999998817,3.91953125,4.4747802734375,1.94254557291667,6.93583984375,3.01787109375,4.02587890625,3.91953125,1,0,10,FALSE,FALSE,TRUE,FALSE,"XOR",1
"65",1.84509999999409,-1,-1,-1,1,-1,-1,-1,6.074951171875,3.02548828125,6.92412109375,6.999609375,1,64,"5589be79fdf99b18be320155",0.4089,1.84509999999409,6.074951171875,5.75604248046875,3.64073893229167,6.999609375,3.02548828125,6.92412109375,6.074951171875,1,0,10,FALSE,FALSE,TRUE,FALSE,"XOR",3
"66",-1,-1,-1,1.977900000006,-1,-1,-1,1,9.951611328125,8.91259765625,9.9169921875,8.882958984375,0,65,"5589be79fdf99b18be320155",0.4083,1.977900000006,8.882958984375,9.4160400390625,0.710774739583332,9.951611328125,8.882958984375,9.9169921875,8.91259765625,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",4
"67",-1,1.87859999999409,-1,-1,-1,1,-1,-1,1.06328125,5.05166015625,6.90693359375,3.01787109375,1,66,"5589be79fdf99b18be320155",0.4472,1.87859999999409,5.05166015625,4.0099365234375,3.92887369791667,6.90693359375,1.06328125,5.05166015625,3.01787109375,1,0,10,FALSE,TRUE,FALSE,FALSE,"XOR",1
"68",0.997200000017756,1.48020000001793,2.24470000001793,1.87980000001198,1,2,4,3,0.037841796875,0.0143066406249998,0.0201171875,1.067236328125,0,67,"5589be79fdf99b18be320155",1.6137,0.997200000017756,0.037841796875,0.28487548828125,0.360758463541667,1.067236328125,0.0143066406249998,0.037841796875,0.0201171875,4,0,10,FALSE,TRUE,FALSE,FALSE,"OR",1
"69",2.12790000000609,-1,-1,-1,1,-1,-1,-1,5.890234375,8.009716796875,6.999609375,10,1,68,"5589be79fdf99b18be320155",0.4409,2.12790000000609,5.890234375,7.72489013671875,2.44620768229167,10,5.890234375,8.009716796875,6.999609375,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",3
"70",-1,-1,2.17769999998814,1.59580000001188,-1,-1,2,1,8.092822265625,9.08427734375,1.975,7.8943359375,0,69,"5589be79fdf99b18be320155",0.8868,1.59580000001188,7.8943359375,6.76160888671875,6.38214518229167,9.08427734375,1.975,8.092822265625,7.8943359375,2,0,10,FALSE,FALSE,TRUE,FALSE,"OR",2
"71",-1,1.03219999998828,-1,1.64750000000004,-1,1,-1,2,1.03251953125,0.0145507812500001,7.9267578125,5.0544921875,0,70,"5589be79fdf99b18be320155",0.9163,1.03219999998828,0.0145507812500001,3.507080078125,4.65670572916667,7.9267578125,0.0145507812500001,5.0544921875,1.03251953125,2,0,10,TRUE,FALSE,FALSE,FALSE,"OR",1
"72",-1,2.71030000001201,1.16399999999999,-1,-1,2,1,-1,7.2119140625,0.0678710937499999,1.047314453125,5.03330078125,0,71,"5589be79fdf99b18be320155",2.2304,1.16399999999999,1.047314453125,3.34010009765625,4.36297200520833,7.2119140625,0.0678710937499999,5.03330078125,1.047314453125,2,0,10,FALSE,FALSE,TRUE,FALSE,"OR",1
"73",-1,1.67869999998811,-1,-1,-1,1,-1,-1,1.10546875,4.0751953125,7.9544921875,8.011474609375,1,72,"5589be79fdf99b18be320155",0.3779,1.67869999998811,4.0751953125,5.28665771484375,5.57491861979167,8.011474609375,1.10546875,7.9544921875,4.0751953125,1,0,10,FALSE,FALSE,TRUE,FALSE,"XOR",2
"74",0.864200000017945,-1,1.59590000000594,2.26350000000002,1,-1,2,3,0.0143066406249998,3.01787109375,6.232177734375,0.0554687500000001,0,73,"5589be79fdf99b18be320155",1.6212,0.864200000017945,0.0143066406249998,2.3299560546875,3.08753255208333,6.232177734375,0.0143066406249998,3.01787109375,0.0554687500000001,3,0,10,TRUE,FALSE,FALSE,FALSE,"OR",1
"75",2.39529999998217,-1,-1,1.13100000000009,2,-1,-1,1,9.991064453125,9.942822265625,8.91259765625,9.023095703125,0,74,"5589be79fdf99b18be320155",1.6301,1.13100000000009,9.023095703125,9.46739501953125,0.739729817708335,9.991064453125,8.91259765625,9.942822265625,9.023095703125,2,0,10,FALSE,FALSE,TRUE,FALSE,"OR",2
"76",-1,3.5247000000179,-1,-1,-1,1,-1,-1,8.9498046875,8.927685546875,9.98017578125,9.02333984375,1,75,"5589be79fdf99b18be320155",0.2142,3.5247000000179,8.927685546875,9.22025146484375,0.390087890625002,9.98017578125,8.927685546875,9.02333984375,8.9498046875,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",5
"77",-1,-1,-1,2.02799999999979,-1,-1,-1,1,3.982177734375,7.889208984375,7.925244140625,3.951025390625,1,76,"5589be79fdf99b18be320155",0.2485,2.02799999999979,3.951025390625,5.9369140625,2.6478515625,7.925244140625,3.951025390625,7.889208984375,3.982177734375,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",2
