"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","endTime","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","NChosen","minValue","maxValue","isWorstFirst","isSecondFirst","isThirdFirst","isBestFirst","catChoiceCondition","conflict","scaledTrialNum","scaledMeanValue","scaledValueDiff"
"21",6.4085,3.0165999999997,-1,-1,2,1,-1,-1,7.7870373196072,2.9120373196072,5.27314843071832,3.60185241699219,0,20,"55b2d3f2fdf99b525bc839aa",3.9357,3.0165999999997,2.9120373196072,4.89351887173123,3.85802459716797,7.7870373196072,2.9120373196072,5.27314843071832,3.60185241699219,2,0,9.625,TRUE,FALSE,FALSE,FALSE,"OR",2,-1.14022584335323,-0.219944345987729,1.0513509059445
"22",-1,5.28250000000003,-1,-1,-1,1,-1,-1,2.62962977091471,5.63425954182943,2.02314843071832,6.63888888888889,1,21,"55b2d3f2fdf99b525bc839aa",0.3219,5.28250000000003,5.63425954182943,4.23148165808784,3.20987630773474,6.63888888888889,2.02314843071832,5.63425954182943,2.62962977091471,1,0,9.625,FALSE,TRUE,FALSE,FALSE,"XOR",3,-1.11135936630631,-0.479622303754032,0.654809473578635
"23",1.31369999999924,2.16859999999951,-1,-1,1,2,-1,-1,6.37963019476997,6.53240797254774,7.2870373196072,5.07407463921441,0,22,"55b2d3f2fdf99b525bc839aa",2.0704,1.31369999999924,6.37963019476997,6.31828753153483,1.2916663840965,7.2870373196072,5.07407463921441,6.53240797254774,6.37963019476997,2,0,9.625,FALSE,FALSE,TRUE,FALSE,"OR",4,-1.0824928892594,0.338907948479398,-0.518764109965151
"24",1.43900000000031,-1,-1,-1,1,-1,-1,-1,3.67592620849609,2.94907421535916,2.24537065294054,3.34722222222222,1,23,"55b2d3f2fdf99b525bc839aa",0.4827,1.43900000000031,3.67592620849609,3.0543983247545,0.828703844988787,3.67592620849609,2.24537065294054,3.34722222222222,2.94907421535916,1,0,9.625,FALSE,FALSE,FALSE,TRUE,"XOR",4,-1.05362641221248,-0.941322325779382,-0.802007669166774
"25",-1,2.68979999999874,-1,3.10709999999926,-1,1,-1,2,5.42129686143663,6.4120373196072,1.99074088202582,2.44907421535916,0,24,"55b2d3f2fdf99b525bc839aa",0.7797,2.68979999999874,6.4120373196072,4.06828731960721,3.125,6.4120373196072,1.99074088202582,5.42129686143663,2.44907421535916,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",2,-1.02475993516556,-0.543633769669149,0.602881584248724
"26",1.25129999999899,2.48129999999901,-1,-1,1,2,-1,-1,6.06944444444444,1.48611111111111,2.29629643758138,1.99074088202582,0,25,"55b2d3f2fdf99b525bc839aa",1.7786,1.25129999999899,6.06944444444444,2.96064821879069,4.145061634205,6.06944444444444,1.48611111111111,2.29629643758138,1.99074088202582,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",3,-0.995893458118644,-0.978094935468617,1.22696207342633
"27",4.19809999999961,4.83759999999938,-1,-1,1,2,-1,-1,7.97685241699219,3.41203731960721,3.68518575032552,6.18518575032552,0,26,"55b2d3f2fdf99b525bc839aa",1.0249,4.19809999999961,7.97685241699219,5.31481530931261,3.54938281023944,7.97685241699219,3.41203731960721,6.18518575032552,3.68518575032552,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",4,-0.967026981071727,-0.0546947251646292,0.862521808850653
"28",-1,2.00880000000052,-1,-1,-1,1,-1,-1,6.65277777777778,7.54629686143663,3.34722222222222,6.4120373196072,1,27,"55b2d3f2fdf99b525bc839aa",0.9833,2.00880000000052,7.54629686143663,5.98958354526096,2.0756177549009,7.54629686143663,3.34722222222222,6.65277777777778,6.4120373196072,1,0,9.625,FALSE,FALSE,FALSE,TRUE,"XOR",3,-0.93816050402481,0.209976858041905,-0.0391374495973503
"29",3.10009999999966,-1,1.32769999999891,-1,2,-1,1,-1,7.90740797254774,1.57407421535916,7.54166666666667,6.68981509738498,0,28,"55b2d3f2fdf99b525bc839aa",6.7561,1.32769999999891,7.54166666666667,5.92824098798964,2.63888931274414,7.90740797254774,1.57407421535916,7.54166666666667,6.68981509738498,2,0,9.625,FALSE,TRUE,FALSE,FALSE,"OR",4,-0.909294026977892,0.185915808801614,0.305475834121147
"30",2.44669999999951,2.05060000000003,-1,-1,2,1,-1,-1,6.69907463921441,2.38425954182943,2.1435186598036,6.98148176405165,0,29,"55b2d3f2fdf99b525bc839aa",1.1836,2.05060000000003,2.38425954182943,4.55208365122477,3.23919748376917,6.98148176405165,2.1435186598036,6.69907463921441,2.38425954182943,2,0,9.625,FALSE,FALSE,TRUE,FALSE,"OR",2,-0.880427549930975,-0.3538691449921,0.672748364003714
"31",2.04340000000002,-1,1.50820000000112,-1,2,-1,1,-1,2.35648176405165,2.24537065294054,7.7870373196072,2.90740754869249,0,30,"55b2d3f2fdf99b525bc839aa",1.22,1.50820000000112,7.7870373196072,3.82407432132297,5.28395066437898,7.7870373196072,2.24537065294054,2.90740754869249,2.35648176405165,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",4,-0.851561072884058,-0.639424053579982,1.92374195342243
