"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialNGlobal","participant","choiceCondition","phase","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","isBestFirst","varValue","conflict","confrt"
"22",-1,-1,3.56720000000314,-1,-1,-1,1,-1,1.17724847541284,8.2010588065657,7.11640211640212,7.14285774836465,21,"5af1c4dfaec2b600010a96c9",1,"XOR",3.56720000000314,7.11640211640212,5.90939178668633,3.05555602650584,8.2010588065657,1.17724847541284,7.14285774836465,7.11640211640212,FALSE,10.2077434210309,3,2.011
"23",-1,2.89949999999999,-1,-1,-1,1,-1,-1,7.01058261608951,6.95767236134363,2.94973544973545,5.55555616106306,22,"5af1c4dfaec2b600010a96c9",1,"XOR",2.89949999999999,6.95767236134363,5.61838664705791,1.85626129204213,7.01058261608951,2.94973544973545,6.95767236134363,5.55555616106306,FALSE,3.61918090787286,3,1.6893
"24",1.44980000001169,-1,-1,-1,1,-1,-1,-1,6.95767236134363,0.0529103556638039,0.515873318626767,1.04497334313771,23,"5af1c4dfaec2b600010a96c9",1,"XOR",1.44980000001169,6.95767236134363,2.14285734469298,6.4197533555342,6.95767236134363,0.0529103556638039,1.04497334313771,0.515873318626767,TRUE,10.4675827878208,4,1.8881
"25",2.50060000000894,-1,-1,-1,1,-1,-1,-1,4.76190536741226,4.88095217911655,9.92063451696325,4.85449755633319,24,"5af1c4dfaec2b600010a96c9",0,"OR1",2.50060000000894,4.76190536741226,6.10449740495631,5.08818281600925,9.92063451696325,4.76190536741226,4.88095217911655,4.85449755633319,FALSE,6.47500612604882,4,3.9743
"26",-1,2.28259999999409,-1,-1,-1,1,-1,-1,5.11904782088345,4.64285754652881,3.96825457376147,5,25,"5af1c4dfaec2b600010a96c9",0,"OR1",2.28259999999409,4.64285754652881,4.68253998529343,0.58201044745336,5.11904782088345,3.96825457376147,5,4.64285754652881,FALSE,0.267699432180891,3,2.7408
"27",-1,1.53370000000268,-1,-1,-1,1,-1,-1,7.98941778758216,9.88095359196739,8.01587341954468,7.61904802271929,26,"5af1c4dfaec2b600010a96c9",0,"OR1",1.53370000000268,9.88095359196739,8.37632320545338,2.00617384868535,9.88095359196739,7.61904802271929,8.01587341954468,7.98941778758216,TRUE,1.03899938431533,3,1.7419
"28",-1,-1,-1,1.9675000000002,-1,-1,-1,1,0.0529103556638039,4.04761945129072,0.0264552282908603,9.86772527139654,27,"5af1c4dfaec2b600010a96c9",0,"OR1",1.9675000000002,9.86772527139654,3.49867757666048,8.49206359298141,9.86772527139654,0.0264552282908603,4.04761945129072,0.0529103556638039,TRUE,21.5985818324526,4,1.7227
"29",-1,2.08379999999715,-1,-1,-1,1,-1,-1,8.2010588065657,7.48677289044416,7.55291045658172,3.94179894179894,28,"5af1c4dfaec2b600010a96c9",0,"OR1",2.08379999999715,7.48677289044416,6.79563527384763,1.8738980436241,8.2010588065657,3.94179894179894,7.55291045658172,7.48677289044416,FALSE,3.72357800796618,3,2.1412
"30",-1,-1,4.85000000000036,-1,-1,-1,1,-1,5.38359808543372,4.48412678229115,0.105820105820105,1.07142897510024,29,"5af1c4dfaec2b600010a96c9",0,"OR1",4.85000000000036,0.105820105820105,2.7612434871613,3.49647279769655,5.38359808543372,0.105820105820105,4.48412678229115,1.07142897510024,FALSE,6.58393896902122,3,2.2877
"31",-1,-1,1.43309999999383,-1,-1,-1,1,-1,6.89153479520606,8.05555535371972,8.67724908092035,8.06878367429057,30,"5af1c4dfaec2b600010a96c9",0,"OR1",1.43309999999383,8.67724908092035,7.92328072603418,1.00529113984823,8.67724908092035,6.89153479520606,8.06878367429057,8.05555535371972,TRUE,0.557211877010262,4,2.215
"32",3.69950000000017,-1,-1,-1,1,-1,-1,-1,6.9312167293811,0.0529103556638039,1.03174603174603,1.04497334313771,31,"5af1c4dfaec2b600010a96c9",0,"OR1",3.69950000000017,6.9312167293811,2.26521161498216,6.22134015253192,6.9312167293811,0.0529103556638039,1.04497334313771,1.03174603174603,TRUE,9.8920997915602,3,1.8977
"33",-1,6.0888999999911,-1,-1,-1,1,-1,-1,0.978835777000144,0.11904792180137,0.952381154216786,1.00917916801002e-07,32,"5af1c4dfaec2b600010a96c9",0,"OR1",6.0888999999911,0.11904792180137,0.512566238484054,0.621692718021453,0.978835777000144,1.00917916801002e-07,0.952381154216786,0.11904792180137,FALSE,0.276141717864413,3,2.0992
"34",-1,2.94570000000294,-1,-1,-1,1,-1,-1,3.99470919654483,8.92857203407893,7.9629631647988,0.0793649784471617,33,"5af1c4dfaec2b600010a96c9",0,"OR1",2.94570000000294,8.92857203407893,5.24140234346743,4.91622625414867,8.92857203407893,0.0793649784471617,7.9629631647988,3.99470919654483,TRUE,16.4009957306731,2,2.5653
