"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","sex","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","NChosen","minValue","maxValue","isBestFirst","isWorstFirst","catChoiceCondition","conflict","multiTarget"
"2583",2.05353182880208,-1,2.74133633682504,3.46141107007861,1,-1,2,3,8.91762473366477,8.01866407518263,8.48324466061283,7.53597110896916,0,22,1021,0,2.05353182880208,8.91762473366477,8.23887614460735,0.904998118743238,8.91762473366477,7.53597110896916,3,0,1,1,0,"OR",1,FALSE
"2584",1.74508341122419,-1,-1,-1,1,-1,-1,-1,9.00033926034903,6.01179643110795,5.4123440036526,6.38399198457792,1,23,1021,0,1.74508341122419,9.00033926034903,6.70211791992188,3.06429512056953,9.00033926034903,5.4123440036526,1,0,1,1,0,"XOR",2,FALSE
"2585",3.62568599265069,3.00963796395808,4.24157636286691,2.39372542966157,3,2,4,1,7.83048555448458,9.03977431260146,8.48066850142046,10,0,24,1021,0,2.39372542966157,10,8.83773209212662,1.54969054383117,10,7.83048555448458,4,0,1,1,0,"OR",1,FALSE
"2586",-1,-1,4.13835455290973,-1,-1,-1,1,-1,9.46598994267451,7.74194494470373,8.3647413377638,8.62330845424107,1,25,1021,0,4.13835455290973,8.3647413377638,8.54899616984578,1.22265836377164,9.46598994267451,7.74194494470373,1,0,1,0,0,"XOR",4,FALSE
"2587",4.7533761463128,-1,-1,-1,1,-1,-1,-1,7.18739695363231,6.49694665685877,6.78745814732143,5.81363033938718,1,26,1021,0,4.7533761463128,7.18739695363231,6.57135802429992,0.821385239109849,7.18739695363231,5.81363033938718,1,0,1,1,0,"XOR",3,FALSE
"2588",-1,-1,3.69467405090109,-1,-1,-1,1,-1,3.53051916345373,7.51655083198052,6.05035955255682,7.64698375355114,1,27,1021,0,3.69467405090109,6.05035955255682,6.18610332538555,1.94784057088745,7.64698375355114,3.53051916345373,1,0,1,0,0,"XOR",3,FALSE
"2589",-1,-1,-1,3.64755748072639,-1,-1,-1,1,5.02282873376623,6.34079177658279,3.40769581980519,6.99339234983766,0,28,1021,0,3.64755748072639,6.99339234983766,5.44117716999797,2.06962023978626,6.99339234983766,3.40769581980519,1,0,1,1,0,"OR",4,FALSE
"2590",-1,1.71925751818344,-1,-1,-1,1,-1,-1,5.03436200030438,8.25741458248783,5.02282873376623,4.04761376318994,1,29,1021,0,1.71925751818344,8.25741458248783,5.59055476993709,3.55581308340097,8.25741458248783,4.04761376318994,1,0,1,1,0,"XOR",2,FALSE
"2591",-1,3.65499280579388,-1,2.34291788795963,-1,2,-1,1,6.35719992897727,3.56392996651786,5.22975376674107,6.03232643821023,0,30,1021,0,2.34291788795963,6.03232643821023,5.29580252511161,1.41519653848755,6.35719992897727,3.56392996651786,2,0,1,0,0,"OR",2,FALSE
"2592",-1,-1,-1,4.45922330208123,-1,-1,-1,1,6.67482054078734,5.61098569399351,3.31003956980519,3.56392996651786,1,31,1021,0,4.45922330208123,3.56392996651786,4.78994394277597,2.51316879734848,6.67482054078734,3.31003956980519,1,0,1,0,0,"XOR",3,FALSE
"2593",-1,-1,1.54546310473233,2.7774200309068,-1,-1,1,2,3.20734990107549,7.19199440696023,8.78069196428572,5.48225700081169,0,32,1021,0,1.54546310473233,8.78069196428572,6.16557331828328,3.48682486133658,8.78069196428572,3.20734990107549,2,0,1,1,0,"OR",2,FALSE
"2594",-1,-1,-1,2.36567761795595,-1,-1,-1,1,2.82421557934253,7.97360110592533,7.55194329596185,9.15724717177354,1,33,1021,0,2.36567761795595,9.15724717177354,6.87675178825081,3.04066051136364,9.15724717177354,2.82421557934253,1,0,1,1,0,"XOR",4,FALSE
"2595",-1,-1,-1,3.04034719476476,-1,-1,-1,1,6.61505364752435,6.77200119216721,6.53475674715909,9.21360560825893,1,34,1021,0,3.04034719476476,9.21360560825893,7.28385429877739,2.57300174597538,9.21360560825893,6.53475674715909,1,0,1,1,0,"XOR",1,FALSE
"2596",1.96066715894267,-1,-1,-1,1,-1,-1,-1,9.69621930803572,6.48022143871753,7.94554078733766,5.63555828936688,1,35,1021,0,1.96066715894267,9.69621930803572,7.43938495586445,3.00911246956169,9.69621930803572,5.63555828936688,1,0,1,1,0,"XOR",1,FALSE
"2597",2.01485700020567,2.46301738033071,1.60681456141174,-1,2,3,1,-1,8.16689231178977,5.44468470982143,6.65777825689935,6.35719992897727,0,36,1021,0,1.60681456141174,6.65777825689935,6.65663880187196,2.01367134655709,8.16689231178977,5.44468470982143,3,0,1,0,0,"OR",1,FALSE
"2598",-1,-1,1.69637954700738,-1,-1,-1,1,-1,6.837158203125,5.8724460354099,9.40681754768669,6.10628202364042,1,37,1021,0,1.69637954700738,9.40681754768669,7.0556759524655,3.13485546029491,9.40681754768669,5.8724460354099,1,0,1,1,0,"XOR",1,FALSE
"2599",4.84199511772022,2.93824634468183,5.40216050064191,2.33806770667434,3,2,4,1,7.24652971540179,8.8265475979099,7.70068676440747,9.06006652039367,0,38,1021,0,2.33806770667434,9.06006652039367,8.20845764952821,1.13547849448728,9.06006652039367,7.24652971540179,4,0,1,1,0,"OR",1,FALSE
"2600",-1,-1,2.52851233491674,-1,-1,-1,1,-1,8.48066850142046,8.28931932325487,9.07841670048701,5.55228889762581,1,39,1021,0,2.52851233491674,9.07841670048701,7.85017335569704,1.6376577930533,9.07841670048701,5.55228889762581,1,0,1,1,0,"XOR",2,FALSE
"2601",-1,-1,-1,-1,-1,-1,-1,-1,6.67188768262987,4.04460163859578,6.6306295023336,5.77574098265016,1,40,1021,0,-1,-10,5.78071495155235,1.18823030810336,6.67188768262987,4.04460163859578,0,0,1,-1,-1,"XOR",3,FALSE
"2602",-1,-1,-1,1.48101878492162,-1,-1,-1,1,7.96947925121753,3.33924925172484,3.67922299868101,9.57894461495536,1,41,1021,0,1.48101878492162,9.57894461495536,6.14172402914468,4.5829607810809,9.57894461495536,3.33924925172484,1,0,1,1,0,"XOR",1,FALSE
"2603",3.64747239509597,3.25543604977429,1.76047192793339,2.57542390096933,4,3,1,2,8.83324561181007,7.02228496601055,9.7037496195211,8.91762473366477,0,42,1021,0,1.76047192793339,9.7037496195211,8.61922623275162,1.44603118235931,9.7037496195211,7.02228496601055,4,0,1,1,0,"OR",2,FALSE
"2604",-1,-1,-1,3.89488494209945,-1,-1,-1,1,7.76600230823864,8.03665755631088,7.2535447950487,6.75828809862013,1,43,1021,0,3.89488494209945,6.75828809862013,7.45362318955459,0.777379155675053,8.03665755631088,6.75828809862013,1,0,1,0,1,"XOR",3,FALSE
"2605",2.72369253495708,3.01170640718192,1.21964080026373,1.91568455798551,3,4,1,2,8.01085633116883,8.13728629768669,7.06389984527192,7.83048555448458,0,44,1021,0,1.21964080026373,7.06389984527192,7.760632007153,0.502205720711582,8.13728629768669,7.06389984527192,4,0,1,0,1,"OR",1,FALSE
"2606",-1,-1,3.02914435509592,-1,-1,-1,1,-1,9.58742612368101,9.00033926034903,9.21990728997565,7.72498192725244,1,45,1021,0,3.02914435509592,9.21990728997565,8.88316365031453,0.939016631155303,9.58742612368101,7.72498192725244,1,0,1,0,0,"XOR",4,FALSE
"2607",1.11352969286963,-1,1.87351972097531,3.60161467595026,1,-1,2,3,9.04338093547078,3.21547471083604,8.4956102247362,5.82100211799919,0,46,1021,0,1.11352969286963,9.04338093547078,6.64386699726055,3.19935191761364,9.04338093547078,3.21547471083604,3,0,1,1,0,"OR",1,FALSE
"2608",2.49669693876058,-1,-1,-1,1,-1,-1,-1,9.15724717177354,9.22505960836039,7.79806558187906,7.27359920353084,1,47,1021,0,2.49669693876058,9.15724717177354,8.36349289138596,1.14875562263258,9.22505960836039,7.27359920353084,1,0,1,0,0,"XOR",3,FALSE
"2609",-1,-1,1.21945426939055,-1,-1,-1,1,-1,6.26850078632305,6.50229714133523,5.23522315087257,6.78793374594156,0,48,1021,0,1.21945426939055,5.23522315087257,6.1984887061181,0.78592671976461,6.78793374594156,5.23522315087257,1,0,1,0,1,"OR",1,FALSE
"2610",2.95529744820669,-1,-1,-1,1,-1,-1,-1,7.29432737672484,6.59523703835227,6.26850078632305,7.18129343800731,1,49,1021,0,2.95529744820669,7.29432737672484,6.83483965985187,0.612650289163958,7.29432737672484,6.26850078632305,1,0,1,1,0,"XOR",3,FALSE
"2611",2.02219223137945,-1,-1,-1,1,-1,-1,-1,9.56075296773539,8.58621176187094,8.91861556412338,7.06338461343344,1,50,1021,0,2.02219223137945,9.56075296773539,8.53224122679079,1.37134898792614,9.56075296773539,7.06338461343344,1,0,1,1,0,"XOR",1,FALSE
"2612",-1,4.65039598802105,-1,-1,-1,1,-1,-1,6.03232643821023,5.61954646915584,8.89776849127435,5.81363033938718,1,51,1021,0,4.65039598802105,5.61954646915584,6.5908179345069,3.07593407568994,8.89776849127435,5.61954646915584,1,0,1,0,1,"XOR",2,FALSE
